model,dataset,frequency,term,horizon_steps,MASE,scaled_MASE,inference_seconds,domain,reference_loss,reference_scaled_MASE,reference_inference_seconds,loss_ratio_to_reference,paired_improvement_percent
seasonal_naive,US_Term_Structure,B,short,20,1.7649879489699798,1.0,76.68119631055743,Finance,1.7649879489699798,1.0,76.68119631055743,1.0,0.0
seasonal_naive,EWELD_Load,15T,medium,96,0.9107484734313388,1.0,0.8178674932569265,Energy,0.9107484734313388,1.0,0.8178674932569265,1.0,0.0
seasonal_naive,Coastal_T_S,H,long,336,2.646814492501095,1.0,1.3289766171947122,Climate,2.646814492501095,1.0,1.3289766171947122,1.0,0.0
seasonal_naive,EWELD_Load,15T,short,24,0.9109076791493171,1.0,2.7549216523766518,Energy,0.9109076791493171,1.0,2.7549216523766518,1.0,0.0
seasonal_naive,Global_Price,Q,short,4,1.8604859355497676,1.0,1.0117378337308764,Economics,1.8604859355497676,1.0,1.0117378337308764,1.0,0.0
seasonal_naive,EWELD_Load,15T,long,672,0.9730884442803625,1.0,0.3245005141943693,Energy,0.9730884442803625,1.0,0.3245005141943693,1.0,0.0
seasonal_naive,Coastal_T_S,H,short,24,1.204935864293014,1.0,7.276267562992871,Climate,1.204935864293014,1.0,7.276267562992871,1.0,0.0
seasonal_naive,Supply_Chain_Location,D,short,30,1.4264456517338167,1.0,2.1239393455907702,Sales,1.4264456517338167,1.0,2.1239393455907702,1.0,0.0
seasonal_naive,Oil_Price,B,short,20,1.5496690109476723,1.0,12.918505388312042,Finance,1.5496690109476723,1.0,12.918505388312042,1.0,0.0
seasonal_naive,Vehicle_Supply,M,short,12,1.1123545370322176,1.0,0.13469098322093487,Economics,1.1123545370322176,1.0,0.13469098322093487,1.0,0.0
seasonal_naive,Housing_Inventory,M,short,12,0.6840076077319015,1.0,0.04277162812650204,Economics,0.6840076077319015,1.0,0.04277162812650204,1.0,0.0
seasonal_naive,NE_China_Wind,H,medium,72,1.092497259593467,1.0,0.18750894628465176,Climate,1.092497259593467,1.0,0.18750894628465176,1.0,0.0
seasonal_naive,Port_Activity,W,short,13,0.9755398949343401,1.0,3.622349251061678,Transport,0.9755398949343401,1.0,3.622349251061678,1.0,0.0
seasonal_naive,US_Labor,M,short,12,1.7726043654315742,1.0,0.31104636937379837,Economics,1.7726043654315742,1.0,0.31104636937379837,1.0,0.0
seasonal_naive,current_velocity,10T,medium,144,1.0437112263446233,1.0,6.091557212173939,Climate,1.0437112263446233,1.0,6.091557212173939,1.0,0.0
seasonal_naive,current_velocity,10T,short,18,1.042604019237951,1.0,31.85003567300737,Climate,1.042604019237951,1.0,31.85003567300737,1.0,0.0
seasonal_naive,Australia_Solar,H,medium,72,1.3589947306642882,1.0,0.6641839258372784,Climate,1.3589947306642882,1.0,0.6641839258372784,1.0,0.0
seasonal_naive,NE_China_Wind,H,short,24,0.8322078490336116,1.0,0.45941207837313414,Climate,0.8322078490336116,1.0,0.45941207837313414,1.0,0.0
seasonal_naive,current_velocity,10T,long,432,1.437499922931037,1.0,3.6895391680300236,Climate,1.437499922931037,1.0,3.6895391680300236,1.0,0.0
seasonal_naive,Coastal_T_S,15T,medium,96,1.4516859811322,1.0,1.338175474666059,Climate,1.4516859811322,1.0,1.338175474666059,1.0,0.0
seasonal_naive,NE_China_Wind,H,long,168,1.3310720643183538,1.0,0.10292179975658655,Climate,1.3310720643183538,1.0,0.10292179975658655,1.0,0.0
seasonal_naive,Australia_Solar,H,short,24,1.235468758758717,1.0,1.7007500659674406,Climate,1.235468758758717,1.0,1.7007500659674406,1.0,0.0
seasonal_naive,SG_PM25,H,medium,72,1.1852409592075988,1.0,0.9929322004318237,Climate,1.1852409592075988,1.0,0.9929322004318237,1.0,0.0
seasonal_naive,SG_Weather,D,medium,7,1.180304070490495,1.0,3.9589907936751842,Climate,1.180304070490495,1.0,3.9589907936751842,1.0,0.0
seasonal_naive,Australia_Solar,H,long,168,1.2762842341465261,1.0,0.36489084642380476,Climate,1.2762842341465261,1.0,0.36489084642380476,1.0,0.0
seasonal_naive,SG_PM25,H,short,24,1.1720073818805468,1.0,2.6252891682088375,Climate,1.1720073818805468,1.0,2.6252891682088375,1.0,0.0
seasonal_naive,SG_Weather,D,short,3,1.0689616504483799,1.0,9.068410464562476,Climate,1.0689616504483799,1.0,9.068410464562476,1.0,0.0
seasonal_naive,Coastal_T_S,15T,long,288,1.5935046166703226,1.0,0.7146508358418941,Climate,1.5935046166703226,1.0,0.7146508358418941,1.0,0.0
